ID,y,Antiguedad,Volumen,Consumo,Ship_to,Frec,Tiempo_ultima_compra,Devolucion,Venta_2020,Venta_2021,Venta_2022,Venta_2023,Crecimiento_21vs20,Crecimiento_22vs21,Crecimiento_23vs22,Territorio,Estado,Cliente_Nuevo,Anio_Registro,Compra_unica,Material.Number,Temporada,SO,Linea_Negocio,n_Estado,n_Anio_Registro,n_Material.Number,n_Linea_Negocio,n_Estado_CHP,n_Estado_COA,n_Estado_GUA,n_Estado_JAL,n_Estado_MIC,n_Estado_Otros,n_Estado_PUE,n_Estado_SIN,n_Estado_TAM,n_Anio_Registro_2017,n_Anio_Registro_2018,n_Anio_Registro_2019,n_Anio_Registro_2020,n_Anio_Registro_2021,n_Anio_Registro_2022,n_Anio_Registro_2023,n_Material.Number_1001368,n_Material.Number_26867,n_Material.Number_Otros,n_Linea_Negocio_FG,n_Linea_Negocio_HN,n_Linea_Negocio_HS,n_Linea_Negocio_IN
21340524,0,-0.07229172579235137,-0.18220765786274334,-0.14908587207593163,-0.20169874510175434,-0.1019606860247035,-0.5186320770326337,-0.2256689161794839,-0.15921312476987345,-0.13264466104454306,-0.12458953467895872,-0.1255501490159176,-0.038904216646617355,-0.07037079282628603,-0.05699822993566006,A9252D,GUA,False,2020,False,15086,OI,3CR,HS,GUA,2020,Otros,HS,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
21374114,0,-0.48758033039754567,-0.14515323486797005,-0.20044612957494065,-0.20169874510175434,0.08062236942311014,-0.4820605783809718,0.12921365361889806,-0.2644213521898328,-0.21836070126838247,-0.104712288489702,-0.19022669516559967,-0.06173982427005354,0.8954890101469619,-0.18921942482377083,A5542F,VER,False,2020,False,15096,OI,3CR,IN,Otros,2020,Otros,IN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21109399,0,0.9495540521005558,0.22052000626646734,-0.10873759236411605,-0.20169874510175434,-0.3133726449642772,-0.7850815672090274,-0.31438955862907936,-0.062229859884272064,-0.2328921961703888,-0.15605147823023138,-0.16030767467118492,-0.1477120914988413,1.24964285715807,-0.07470841011054473,A9482D,CAM,False,2017,False,56277,OI,3CR,IN,Otros,2017,Otros,IN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21109001,1,0.9495540521005558,-0.20267815270666134,-0.24977485570721758,-0.20169874510175434,-0.37423366344688175,3.0209665424674994,-0.1369482737298884,-0.24550683454032907,-0.248106902986786,-0.2544450805824864,-0.23919235550919413,-0.15572183830476838,-0.12492944470829975,-0.060137265829718047,A5742C,TAM,False,2017,False,32722,OI,3CR,IN,TAM,2017,Otros,IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21109690,0,0.9495540521005558,-0.08871353746760288,0.1623197821704525,-0.20169874510175434,0.3689114043407106,-0.3201010843521835,-0.1369482737298884,0.24712961442435114,0.22849193783476857,0.11254084031557521,0.18606909015683076,-0.056551418964637584,-0.15799896706229527,0.011425775175103044,A9252A,CMX,False,2017,False,26868,OI,3CR,IN,Otros,2017,Otros,IN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21330874,0,-0.26749047054368874,-0.19560412069309357,-0.2175495959373042,-0.20169874510175434,-0.23649556898625038,-0.6414078225060701,-0.31438955862907936,-0.23502585845977755,-0.21625626640303894,-0.21304200225697484,-0.19054770038483718,-0.04038834796099915,-0.02706778110128983,0.01531175291509161,A9142N,MIC,False,2020,False,62521,OI,3CR,HS,MIC,2020,Otros,HS,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
21107479,1,0.9495540521005558,-0.19334447717015843,-0.19260030390253854,-0.20169874510175434,-0.3197790679624461,3.0209665424674994,-0.31438955862907936,0.06393909555069656,-0.248106902986786,-0.2544450805824864,-0.23919235550919413,-0.15572183830476838,-0.12492944470829975,-0.060137265829718047,A5742G,SLP,False,2017,False,1001368,OI,3CR,FG,Otros,2017,1001368,FG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21107298,1,0.9495540521005558,-0.09456951978206059,-0.23068638427457022,-0.20169874510175434,-0.37423366344688175,2.07271982742798,-0.31438955862907936,-0.24949981997270596,-0.15336352375463894,-0.2544450805824864,-0.23919235550919413,0.5201331559094655,-0.34825685283316843,-0.060137265829718047,A4A42A,CHP,False,2017,False,46588,OI,3IS,HS,CHP,2017,Otros,HS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
21108196,1,0.9495540521005558,-0.20724920014261525,-0.2476502933080127,0.03311471934506413,-0.36782724044871284,0.34863489099249106,-0.31438955862907936,-0.2644213521898328,-0.2305992324799137,-0.25076233902839484,-0.2350852778835347,-0.06173982427005354,-0.29628249616239066,0.0009150742301776338,A5842A,CHP,False,2017,False,61365,OI,3CR,FG,CHP,2017,Otros,FG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
21108962,1,0.9495540521005558,-0.1855619328040178,-0.2008157628578815,-0.20169874510175434,0.07101273492585679,0.5523903834803215,-0.31438955862907936,-0.17218755785959658,-0.16388924508815086,-0.17761185641534047,-0.23919235550919413,-0.05852969443053095,-0.12283700964646119,-0.2681050296390437,A9352F,SIN,False,2017,False,13175,OI,3CR,FG,SIN,2017,Otros,FG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
