,CohortMonth,CohortIndex,bp_id
0,2019-01-01,1,129
1,2019-01-01,2,100
2,2019-01-01,3,81
3,2019-01-01,4,91
4,2019-01-01,5,90
5,2019-01-01,6,94
6,2019-01-01,7,101
7,2019-01-01,8,90
8,2019-01-01,9,65
9,2019-01-01,10,77
10,2019-01-01,11,81
11,2019-01-01,12,88
12,2019-01-01,13,80
13,2019-01-01,14,84
14,2019-01-01,15,90
15,2019-01-01,16,79
16,2019-01-01,17,87
17,2019-01-01,18,88
18,2019-01-01,19,92
19,2019-01-01,20,79
20,2019-01-01,21,72
21,2019-01-01,22,75
22,2019-01-01,23,75
23,2019-01-01,24,84
24,2019-01-01,25,76
25,2019-01-01,26,73
26,2019-01-01,27,72
27,2019-01-01,28,76
28,2019-01-01,29,79
29,2019-01-01,30,79
30,2019-01-01,31,85
31,2019-01-01,32,82
32,2019-01-01,33,69
33,2019-01-01,34,72
34,2019-01-01,35,74
35,2019-01-01,36,80
36,2019-01-01,37,85
37,2019-01-01,38,83
38,2019-01-01,39,82
39,2019-01-01,40,79
40,2019-01-01,41,83
41,2019-01-01,42,81
42,2019-01-01,43,82
43,2019-01-01,44,77
44,2019-01-01,45,69
45,2019-01-01,46,70
46,2019-01-01,47,78
47,2019-01-01,48,80
48,2019-01-01,49,77
49,2019-01-01,50,73
50,2019-01-01,51,68
51,2019-01-01,52,75
52,2019-01-01,53,75
53,2019-01-01,54,76
54,2019-01-01,55,69
55,2019-01-01,56,76
56,2019-01-01,57,63
57,2019-01-01,58,63
58,2019-01-01,59,70
59,2019-01-01,60,68
60,2019-01-01,61,62
61,2019-01-01,62,75
62,2019-01-01,63,60
63,2019-01-01,64,64
64,2019-01-01,65,69
65,2019-01-01,66,70
66,2019-01-01,67,72
67,2019-01-01,68,71
68,2019-01-01,69,67
69,2019-02-01,1,52
70,2019-02-01,2,19
71,2019-02-01,3,27
72,2019-02-01,4,29
73,2019-02-01,5,33
74,2019-02-01,6,34
75,2019-02-01,7,32
76,2019-02-01,8,15
77,2019-02-01,9,16
78,2019-02-01,10,17
79,2019-02-01,11,23
80,2019-02-01,12,14
81,2019-02-01,13,20
82,2019-02-01,14,27
83,2019-02-01,15,23
84,2019-02-01,16,25
85,2019-02-01,17,23
86,2019-02-01,18,25
87,2019-02-01,19,26
88,2019-02-01,20,21
89,2019-02-01,21,14
90,2019-02-01,22,17
91,2019-02-01,23,15
92,2019-02-01,24,16
93,2019-02-01,25,23
94,2019-02-01,26,19
95,2019-02-01,27,21
96,2019-02-01,28,20
97,2019-02-01,29,25
98,2019-02-01,30,24
99,2019-02-01,31,26
100,2019-02-01,32,9
101,2019-02-01,33,16
102,2019-02-01,34,16
103,2019-02-01,35,18
104,2019-02-01,36,15
105,2019-02-01,37,18
106,2019-02-01,38,24
107,2019-02-01,39,22
108,2019-02-01,40,21
109,2019-02-01,41,23
110,2019-02-01,42,23
111,2019-02-01,43,23
112,2019-02-01,44,18
113,2019-02-01,45,19
114,2019-02-01,46,11
115,2019-02-01,47,15
116,2019-02-01,48,10
117,2019-02-01,49,17
118,2019-02-01,50,17
119,2019-02-01,51,21
120,2019-02-01,52,22
121,2019-02-01,53,18
122,2019-02-01,54,18
123,2019-02-01,55,18
124,2019-02-01,56,13
125,2019-02-01,57,12
126,2019-02-01,58,11
127,2019-02-01,59,11
128,2019-02-01,60,12
129,2019-02-01,61,11
130,2019-02-01,62,13
131,2019-02-01,63,13
132,2019-02-01,64,15
133,2019-02-01,65,16
134,2019-02-01,66,18
135,2019-02-01,67,18
136,2019-02-01,68,15
137,2019-03-01,1,31
138,2019-03-01,2,19
139,2019-03-01,3,19
140,2019-03-01,4,22
141,2019-03-01,5,22
142,2019-03-01,6,23
143,2019-03-01,7,8
144,2019-03-01,8,8
145,2019-03-01,9,3
146,2019-03-01,10,9
147,2019-03-01,11,5
148,2019-03-01,12,7
149,2019-03-01,13,17
150,2019-03-01,14,16
151,2019-03-01,15,18
152,2019-03-01,16,20
153,2019-03-01,17,18
154,2019-03-01,18,19
155,2019-03-01,19,12
156,2019-03-01,20,10
157,2019-03-01,21,8
158,2019-03-01,22,9
159,2019-03-01,23,4
160,2019-03-01,24,9
161,2019-03-01,25,16
162,2019-03-01,26,18
163,2019-03-01,27,16
164,2019-03-01,28,18
165,2019-03-01,29,19
166,2019-03-01,30,16
167,2019-03-01,31,14
168,2019-03-01,32,9
169,2019-03-01,33,8
170,2019-03-01,34,7
171,2019-03-01,35,10
172,2019-03-01,36,9
173,2019-03-01,37,15
174,2019-03-01,38,17
175,2019-03-01,39,17
176,2019-03-01,40,17
177,2019-03-01,41,16
178,2019-03-01,42,14
179,2019-03-01,43,14
180,2019-03-01,44,14
181,2019-03-01,45,10
182,2019-03-01,46,11
183,2019-03-01,47,9
184,2019-03-01,48,10
185,2019-03-01,49,10
186,2019-03-01,50,16
187,2019-03-01,51,16
188,2019-03-01,52,17
189,2019-03-01,53,13
190,2019-03-01,54,14
191,2019-03-01,55,12
192,2019-03-01,56,9
193,2019-03-01,57,4
194,2019-03-01,58,6
195,2019-03-01,59,9
196,2019-03-01,60,8
197,2019-03-01,61,7
198,2019-03-01,62,10
199,2019-03-01,63,14
200,2019-03-01,64,12
201,2019-03-01,65,15
202,2019-03-01,66,16
203,2019-03-01,67,11
204,2019-04-01,1,37
205,2019-04-01,2,19
206,2019-04-01,3,22
207,2019-04-01,4,20
208,2019-04-01,5,22
209,2019-04-01,6,6
210,2019-04-01,7,8
211,2019-04-01,8,8
212,2019-04-01,9,6
213,2019-04-01,10,5
214,2019-04-01,11,8
215,2019-04-01,12,14
216,2019-04-01,13,13
217,2019-04-01,14,14
218,2019-04-01,15,15
219,2019-04-01,16,20
220,2019-04-01,17,18
221,2019-04-01,18,11
222,2019-04-01,19,8
223,2019-04-01,20,7
224,2019-04-01,21,3
225,2019-04-01,22,3
226,2019-04-01,23,5
227,2019-04-01,24,9
228,2019-04-01,25,12
229,2019-04-01,26,16
230,2019-04-01,27,17
231,2019-04-01,28,15
232,2019-04-01,29,12
233,2019-04-01,30,8
234,2019-04-01,31,5
235,2019-04-01,32,4
236,2019-04-01,33,4
237,2019-04-01,34,5
238,2019-04-01,35,5
239,2019-04-01,36,13
240,2019-04-01,37,16
241,2019-04-01,38,15
242,2019-04-01,39,14
243,2019-04-01,40,13
244,2019-04-01,41,14
245,2019-04-01,42,11
246,2019-04-01,43,8
247,2019-04-01,44,6
248,2019-04-01,45,6
249,2019-04-01,46,4
250,2019-04-01,47,7
251,2019-04-01,48,6
252,2019-04-01,49,8
253,2019-04-01,50,11
254,2019-04-01,51,12
255,2019-04-01,52,9
256,2019-04-01,53,10
257,2019-04-01,54,11
258,2019-04-01,55,6
259,2019-04-01,56,5
260,2019-04-01,57,4
261,2019-04-01,58,2
262,2019-04-01,59,6
263,2019-04-01,60,9
264,2019-04-01,61,8
265,2019-04-01,62,10
266,2019-04-01,63,9
267,2019-04-01,64,13
268,2019-04-01,65,13
269,2019-04-01,66,9
270,2019-05-01,1,39
271,2019-05-01,2,28
272,2019-05-01,3,25
273,2019-05-01,4,21
274,2019-05-01,5,4
275,2019-05-01,6,6
276,2019-05-01,7,5
